condition_id,image_type,degradation,level,enhancement_method,class,precision,recall,f1,support
salt_pepper__light__gaussian_filter,enhanced,salt_pepper,light,gaussian_filter,roses,0.0,0.0,0.0,2.0
salt_pepper__light__gaussian_filter,enhanced,salt_pepper,light,gaussian_filter,sunflowers,0.3333333333333333,0.5,0.4,2.0
salt_pepper__light__gaussian_filter,enhanced,salt_pepper,light,gaussian_filter,tulips,0.0,0.0,0.0,2.0
salt_pepper__medium__degraded,degraded,salt_pepper,medium,none,daisy,0.0,0.0,0.0,2.0
salt_pepper__medium__degraded,degraded,salt_pepper,medium,none,dandelion,0.0,0.0,0.0,2.0
salt_pepper__medium__degraded,degraded,salt_pepper,medium,none,roses,0.0,0.0,0.0,2.0
salt_pepper__medium__degraded,degraded,salt_pepper,medium,none,sunflowers,0.3333333333333333,0.5,0.4,2.0
salt_pepper__medium__degraded,degraded,salt_pepper,medium,none,tulips,0.0,0.0,0.0,2.0
salt_pepper__medium__median_filter,enhanced,salt_pepper,medium,median_filter,daisy,0.0,0.0,0.0,2.0
salt_pepper__medium__median_filter,enhanced,salt_pepper,medium,median_filter,dandelion,0.3333333333333333,0.5,0.4,2.0
salt_pepper__medium__median_filter,enhanced,salt_pepper,medium,median_filter,roses,0.0,0.0,0.0,2.0
salt_pepper__medium__median_filter,enhanced,salt_pepper,medium,median_filter,sunflowers,0.4,1.0,0.5714285714285714,2.0
salt_pepper__medium__median_filter,enhanced,salt_pepper,medium,median_filter,tulips,0.0,0.0,0.0,2.0
salt_pepper__medium__gaussian_filter,enhanced,salt_pepper,medium,gaussian_filter,daisy,0.0,0.0,0.0,2.0
salt_pepper__medium__gaussian_filter,enhanced,salt_pepper,medium,gaussian_filter,dandelion,0.25,0.5,0.3333333333333333,2.0
salt_pepper__medium__gaussian_filter,enhanced,salt_pepper,medium,gaussian_filter,roses,0.0,0.0,0.0,2.0
salt_pepper__medium__gaussian_filter,enhanced,salt_pepper,medium,gaussian_filter,sunflowers,0.5,0.5,0.5,2.0
salt_pepper__medium__gaussian_filter,enhanced,salt_pepper,medium,gaussian_filter,tulips,0.0,0.0,0.0,2.0
salt_pepper__strong__degraded,degraded,salt_pepper,strong,none,daisy,0.0,0.0,0.0,2.0
salt_pepper__strong__degraded,degraded,salt_pepper,strong,none,dandelion,0.0,0.0,0.0,2.0
salt_pepper__strong__degraded,degraded,salt_pepper,strong,none,roses,0.0,0.0,0.0,2.0
salt_pepper__strong__degraded,degraded,salt_pepper,strong,none,sunflowers,0.25,0.5,0.3333333333333333,2.0
salt_pepper__strong__degraded,degraded,salt_pepper,strong,none,tulips,0.0,0.0,0.0,2.0
salt_pepper__strong__median_filter,enhanced,salt_pepper,strong,median_filter,daisy,0.0,0.0,0.0,2.0
salt_pepper__strong__median_filter,enhanced,salt_pepper,strong,median_filter,dandelion,0.2,0.5,0.2857142857142857,2.0
salt_pepper__strong__median_filter,enhanced,salt_pepper,strong,median_filter,roses,0.0,0.0,0.0,2.0
salt_pepper__strong__median_filter,enhanced,salt_pepper,strong,median_filter,sunflowers,0.3333333333333333,0.5,0.4,2.0
salt_pepper__strong__median_filter,enhanced,salt_pepper,strong,median_filter,tulips,0.0,0.0,0.0,2.0
salt_pepper__strong__gaussian_filter,enhanced,salt_pepper,strong,gaussian_filter,daisy,0.0,0.0,0.0,2.0
salt_pepper__strong__gaussian_filter,enhanced,salt_pepper,strong,gaussian_filter,dandelion,0.4,1.0,0.5714285714285714,2.0
salt_pepper__strong__gaussian_filter,enhanced,salt_pepper,strong,gaussian_filter,roses,0.0,0.0,0.0,2.0
salt_pepper__strong__gaussian_filter,enhanced,salt_pepper,strong,gaussian_filter,sunflowers,0.6666666666666666,1.0,0.8,2.0
salt_pepper__strong__gaussian_filter,enhanced,salt_pepper,strong,gaussian_filter,tulips,0.5,0.5,0.5,2.0
gaussian_blur__light__degraded,degraded,gaussian_blur,light,none,daisy,0.0,0.0,0.0,2.0
gaussian_blur__light__degraded,degraded,gaussian_blur,light,none,dandelion,0.5,0.5,0.5,2.0
gaussian_blur__light__degraded,degraded,gaussian_blur,light,none,roses,0.0,0.0,0.0,2.0
gaussian_blur__light__degraded,degraded,gaussian_blur,light,none,sunflowers,0.3333333333333333,0.5,0.4,2.0
gaussian_blur__light__degraded,degraded,gaussian_blur,light,none,tulips,0.25,0.5,0.3333333333333333,2.0
gaussian_blur__light__unsharp_mask,enhanced,gaussian_blur,light,unsharp_mask,daisy,0.0,0.0,0.0,2.0
gaussian_blur__light__unsharp_mask,enhanced,gaussian_blur,light,unsharp_mask,dandelion,1.0,0.5,0.6666666666666666,2.0
gaussian_blur__light__unsharp_mask,enhanced,gaussian_blur,light,unsharp_mask,roses,0.0,0.0,0.0,2.0
gaussian_blur__light__unsharp_mask,enhanced,gaussian_blur,light,unsharp_mask,sunflowers,0.5,0.5,0.5,2.0
gaussian_blur__light__unsharp_mask,enhanced,gaussian_blur,light,unsharp_mask,tulips,0.3333333333333333,1.0,0.5,2.0
gaussian_blur__light__sharpening,enhanced,gaussian_blur,light,sharpening,daisy,0.0,0.0,0.0,2.0
gaussian_blur__light__sharpening,enhanced,gaussian_blur,light,sharpening,dandelion,0.5,0.5,0.5,2.0
gaussian_blur__light__sharpening,enhanced,gaussian_blur,light,sharpening,roses,0.0,0.0,0.0,2.0
gaussian_blur__light__sharpening,enhanced,gaussian_blur,light,sharpening,sunflowers,0.3333333333333333,0.5,0.4,2.0
gaussian_blur__light__sharpening,enhanced,gaussian_blur,light,sharpening,tulips,0.2,0.5,0.2857142857142857,2.0
gaussian_blur__medium__degraded,degraded,gaussian_blur,medium,none,daisy,0.0,0.0,0.0,2.0
gaussian_blur__medium__degraded,degraded,gaussian_blur,medium,none,dandelion,0.6666666666666666,1.0,0.8,2.0
gaussian_blur__medium__degraded,degraded,gaussian_blur,medium,none,roses,0.0,0.0,0.0,2.0
gaussian_blur__medium__degraded,degraded,gaussian_blur,medium,none,sunflowers,0.5,1.0,0.6666666666666666,2.0
gaussian_blur__medium__degraded,degraded,gaussian_blur,medium,none,tulips,0.3333333333333333,0.5,0.4,2.0
gaussian_blur__medium__unsharp_mask,enhanced,gaussian_blur,medium,unsharp_mask,daisy,0.0,0.0,0.0,2.0
gaussian_blur__medium__unsharp_mask,enhanced,gaussian_blur,medium,unsharp_mask,dandelion,0.5,1.0,0.6666666666666666,2.0
gaussian_blur__medium__unsharp_mask,enhanced,gaussian_blur,medium,unsharp_mask,roses,0.0,0.0,0.0,2.0
gaussian_blur__medium__unsharp_mask,enhanced,gaussian_blur,medium,unsharp_mask,sunflowers,0.5,1.0,0.6666666666666666,2.0
gaussian_blur__medium__unsharp_mask,enhanced,gaussian_blur,medium,unsharp_mask,tulips,0.5,0.5,0.5,2.0
gaussian_blur__medium__sharpening,enhanced,gaussian_blur,medium,sharpening,daisy,0.0,0.0,0.0,2.0
gaussian_blur__medium__sharpening,enhanced,gaussian_blur,medium,sharpening,dandelion,0.3333333333333333,0.5,0.4,2.0
gaussian_blur__medium__sharpening,enhanced,gaussian_blur,medium,sharpening,roses,0.0,0.0,0.0,2.0
gaussian_blur__medium__sharpening,enhanced,gaussian_blur,medium,sharpening,sunflowers,0.5,1.0,0.6666666666666666,2.0
gaussian_blur__medium__sharpening,enhanced,gaussian_blur,medium,sharpening,tulips,0.3333333333333333,0.5,0.4,2.0
gaussian_blur__strong__degraded,degraded,gaussian_blur,strong,none,daisy,0.0,0.0,0.0,2.0
gaussian_blur__strong__degraded,degraded,gaussian_blur,strong,none,dandelion,0.5,0.5,0.5,2.0
gaussian_blur__strong__degraded,degraded,gaussian_blur,strong,none,roses,0.0,0.0,0.0,2.0
gaussian_blur__strong__degraded,degraded,gaussian_blur,strong,none,sunflowers,0.5,0.5,0.5,2.0
gaussian_blur__strong__degraded,degraded,gaussian_blur,strong,none,tulips,0.3333333333333333,0.5,0.4,2.0
gaussian_blur__strong__unsharp_mask,enhanced,gaussian_blur,strong,unsharp_mask,daisy,0.0,0.0,0.0,2.0
gaussian_blur__strong__unsharp_mask,enhanced,gaussian_blur,strong,unsharp_mask,dandelion,0.0,0.0,0.0,2.0
gaussian_blur__strong__unsharp_mask,enhanced,gaussian_blur,strong,unsharp_mask,roses,0.0,0.0,0.0,2.0
gaussian_blur__strong__unsharp_mask,enhanced,gaussian_blur,strong,unsharp_mask,sunflowers,0.3333333333333333,0.5,0.4,2.0
gaussian_blur__strong__unsharp_mask,enhanced,gaussian_blur,strong,unsharp_mask,tulips,0.0,0.0,0.0,2.0
gaussian_blur__strong__sharpening,enhanced,gaussian_blur,strong,sharpening,daisy,0.0,0.0,0.0,2.0
gaussian_blur__strong__sharpening,enhanced,gaussian_blur,strong,sharpening,dandelion,0.6666666666666666,1.0,0.8,2.0
gaussian_blur__strong__sharpening,enhanced,gaussian_blur,strong,sharpening,roses,0.0,0.0,0.0,2.0
gaussian_blur__strong__sharpening,enhanced,gaussian_blur,strong,sharpening,sunflowers,0.3333333333333333,0.5,0.4,2.0
gaussian_blur__strong__sharpening,enhanced,gaussian_blur,strong,sharpening,tulips,0.0,0.0,0.0,2.0
color_cast__light__degraded,degraded,color_cast,light,none,daisy,0.0,0.0,0.0,2.0
color_cast__light__degraded,degraded,color_cast,light,none,dandelion,0.5,0.5,0.5,2.0
color_cast__light__degraded,degraded,color_cast,light,none,roses,0.0,0.0,0.0,2.0
color_cast__light__degraded,degraded,color_cast,light,none,sunflowers,0.25,0.5,0.3333333333333333,2.0
color_cast__light__degraded,degraded,color_cast,light,none,tulips,0.0,0.0,0.0,2.0
color_cast__light__rgb_balance,enhanced,color_cast,light,rgb_balance,daisy,0.0,0.0,0.0,2.0
color_cast__light__rgb_balance,enhanced,color_cast,light,rgb_balance,dandelion,0.5,0.5,0.5,2.0
color_cast__light__rgb_balance,enhanced,color_cast,light,rgb_balance,roses,0.0,0.0,0.0,2.0
color_cast__light__rgb_balance,enhanced,color_cast,light,rgb_balance,sunflowers,0.3333333333333333,0.5,0.4,2.0
color_cast__light__rgb_balance,enhanced,color_cast,light,rgb_balance,tulips,0.25,0.5,0.3333333333333333,2.0
color_cast__light__hsv_correction,enhanced,color_cast,light,hsv_correction,daisy,0.0,0.0,0.0,2.0
color_cast__light__hsv_correction,enhanced,color_cast,light,hsv_correction,dandelion,0.5,0.5,0.5,2.0
color_cast__light__hsv_correction,enhanced,color_cast,light,hsv_correction,roses,0.0,0.0,0.0,2.0
color_cast__light__hsv_correction,enhanced,color_cast,light,hsv_correction,sunflowers,0.3333333333333333,0.5,0.4,2.0
color_cast__light__hsv_correction,enhanced,color_cast,light,hsv_correction,tulips,0.0,0.0,0.0,2.0
color_cast__light__lab_correction,enhanced,color_cast,light,lab_correction,daisy,0.0,0.0,0.0,2.0
color_cast__light__lab_correction,enhanced,color_cast,light,lab_correction,dandelion,1.0,0.5,0.6666666666666666,2.0
color_cast__light__lab_correction,enhanced,color_cast,light,lab_correction,roses,0.0,0.0,0.0,2.0
color_cast__light__lab_correction,enhanced,color_cast,light,lab_correction,sunflowers,0.3333333333333333,1.0,0.5,2.0
color_cast__light__lab_correction,enhanced,color_cast,light,lab_correction,tulips,0.0,0.0,0.0,2.0
color_cast__medium__degraded,degraded,color_cast,medium,none,daisy,0.0,0.0,0.0,2.0
color_cast__medium__degraded,degraded,color_cast,medium,none,dandelion,0.5,0.5,0.5,2.0
color_cast__medium__degraded,degraded,color_cast,medium,none,roses,0.0,0.0,0.0,2.0
color_cast__medium__degraded,degraded,color_cast,medium,none,sunflowers,0.5,1.0,0.6666666666666666,2.0
color_cast__medium__degraded,degraded,color_cast,medium,none,tulips,0.0,0.0,0.0,2.0
color_cast__medium__rgb_balance,enhanced,color_cast,medium,rgb_balance,daisy,0.0,0.0,0.0,2.0
color_cast__medium__rgb_balance,enhanced,color_cast,medium,rgb_balance,dandelion,0.3333333333333333,0.5,0.4,2.0
color_cast__medium__rgb_balance,enhanced,color_cast,medium,rgb_balance,roses,0.0,0.0,0.0,2.0
color_cast__medium__rgb_balance,enhanced,color_cast,medium,rgb_balance,sunflowers,0.3333333333333333,0.5,0.4,2.0
color_cast__medium__rgb_balance,enhanced,color_cast,medium,rgb_balance,tulips,0.25,0.5,0.3333333333333333,2.0
color_cast__medium__hsv_correction,enhanced,color_cast,medium,hsv_correction,daisy,0.0,0.0,0.0,2.0
color_cast__medium__hsv_correction,enhanced,color_cast,medium,hsv_correction,dandelion,0.5,0.5,0.5,2.0
color_cast__medium__hsv_correction,enhanced,color_cast,medium,hsv_correction,roses,0.0,0.0,0.0,2.0
color_cast__medium__hsv_correction,enhanced,color_cast,medium,hsv_correction,sunflowers,0.4,1.0,0.5714285714285714,2.0
color_cast__medium__hsv_correction,enhanced,color_cast,medium,hsv_correction,tulips,0.0,0.0,0.0,2.0
color_cast__medium__lab_correction,enhanced,color_cast,medium,lab_correction,daisy,0.0,0.0,0.0,2.0
color_cast__medium__lab_correction,enhanced,color_cast,medium,lab_correction,dandelion,1.0,0.5,0.6666666666666666,2.0
color_cast__medium__lab_correction,enhanced,color_cast,medium,lab_correction,roses,0.0,0.0,0.0,2.0
color_cast__medium__lab_correction,enhanced,color_cast,medium,lab_correction,sunflowers,0.3333333333333333,1.0,0.5,2.0
color_cast__medium__lab_correction,enhanced,color_cast,medium,lab_correction,tulips,0.3333333333333333,0.5,0.4,2.0
color_cast__strong__degraded,degraded,color_cast,strong,none,daisy,0.0,0.0,0.0,2.0
color_cast__strong__degraded,degraded,color_cast,strong,none,dandelion,0.0,0.0,0.0,2.0
color_cast__strong__degraded,degraded,color_cast,strong,none,roses,0.0,0.0,0.0,2.0
color_cast__strong__degraded,degraded,color_cast,strong,none,sunflowers,0.3333333333333333,1.0,0.5,2.0
color_cast__strong__degraded,degraded,color_cast,strong,none,tulips,0.0,0.0,0.0,2.0
color_cast__strong__rgb_balance,enhanced,color_cast,strong,rgb_balance,daisy,0.0,0.0,0.0,2.0
color_cast__strong__rgb_balance,enhanced,color_cast,strong,rgb_balance,dandelion,0.3333333333333333,0.5,0.4,2.0
color_cast__strong__rgb_balance,enhanced,color_cast,strong,rgb_balance,roses,0.0,0.0,0.0,2.0
color_cast__strong__rgb_balance,enhanced,color_cast,strong,rgb_balance,sunflowers,0.3333333333333333,0.5,0.4,2.0
color_cast__strong__rgb_balance,enhanced,color_cast,strong,rgb_balance,tulips,0.25,0.5,0.3333333333333333,2.0
color_cast__strong__hsv_correction,enhanced,color_cast,strong,hsv_correction,daisy,0.0,0.0,0.0,2.0
color_cast__strong__hsv_correction,enhanced,color_cast,strong,hsv_correction,dandelion,0.0,0.0,0.0,2.0
color_cast__strong__hsv_correction,enhanced,color_cast,strong,hsv_correction,roses,0.0,0.0,0.0,2.0
color_cast__strong__hsv_correction,enhanced,color_cast,strong,hsv_correction,sunflowers,0.25,0.5,0.3333333333333333,2.0
color_cast__strong__hsv_correction,enhanced,color_cast,strong,hsv_correction,tulips,0.2,0.5,0.2857142857142857,2.0
color_cast__strong__lab_correction,enhanced,color_cast,strong,lab_correction,daisy,0.0,0.0,0.0,2.0
color_cast__strong__lab_correction,enhanced,color_cast,strong,lab_correction,dandelion,1.0,0.5,0.6666666666666666,2.0
color_cast__strong__lab_correction,enhanced,color_cast,strong,lab_correction,roses,0.0,0.0,0.0,2.0
color_cast__strong__lab_correction,enhanced,color_cast,strong,lab_correction,sunflowers,0.2857142857142857,1.0,0.4444444444444444,2.0
color_cast__strong__lab_correction,enhanced,color_cast,strong,lab_correction,tulips,0.5,0.5,0.5,2.0
