condition_id,degradation,level,enhancement_method,true_label,predicted_label,count
color_cast__strong__lab_correction,color_cast,strong,lab_correction,sunflowers,daisy,7
color_cast__strong__lab_correction,color_cast,strong,lab_correction,dandelion,daisy,6
color_cast__strong__lab_correction,color_cast,strong,lab_correction,daisy,roses,5
color_cast__strong__rgb_balance,color_cast,strong,rgb_balance,tulips,sunflowers,12
color_cast__strong__rgb_balance,color_cast,strong,rgb_balance,dandelion,daisy,7
color_cast__strong__rgb_balance,color_cast,strong,rgb_balance,dandelion,sunflowers,7
color_cast__strong__rgb_balance,color_cast,strong,rgb_balance,daisy,sunflowers,5
color_cast__strong__rgb_balance,color_cast,strong,rgb_balance,tulips,roses,5
gaussian_blur__light__degraded,gaussian_blur,light,none,daisy,dandelion,7
gaussian_blur__light__degraded,gaussian_blur,light,none,tulips,roses,6
gaussian_blur__light__degraded,gaussian_blur,light,none,dandelion,sunflowers,5
gaussian_blur__light__degraded,gaussian_blur,light,none,sunflowers,dandelion,5
gaussian_blur__light__degraded,gaussian_blur,light,none,tulips,dandelion,5
gaussian_blur__light__sharpening,gaussian_blur,light,sharpening,daisy,dandelion,8
gaussian_blur__light__sharpening,gaussian_blur,light,sharpening,tulips,sunflowers,6
gaussian_blur__light__sharpening,gaussian_blur,light,sharpening,roses,tulips,5
gaussian_blur__light__sharpening,gaussian_blur,light,sharpening,daisy,sunflowers,4
gaussian_blur__light__sharpening,gaussian_blur,light,sharpening,dandelion,sunflowers,4
gaussian_blur__light__unsharp_mask,gaussian_blur,light,unsharp_mask,daisy,dandelion,7
gaussian_blur__light__unsharp_mask,gaussian_blur,light,unsharp_mask,roses,tulips,5
gaussian_blur__light__unsharp_mask,gaussian_blur,light,unsharp_mask,tulips,sunflowers,5
gaussian_blur__light__unsharp_mask,gaussian_blur,light,unsharp_mask,daisy,sunflowers,4
gaussian_blur__light__unsharp_mask,gaussian_blur,light,unsharp_mask,dandelion,sunflowers,4
gaussian_blur__medium__degraded,gaussian_blur,medium,none,tulips,roses,10
gaussian_blur__medium__degraded,gaussian_blur,medium,none,tulips,dandelion,8
gaussian_blur__medium__degraded,gaussian_blur,medium,none,daisy,dandelion,7
gaussian_blur__medium__degraded,gaussian_blur,medium,none,sunflowers,dandelion,6
gaussian_blur__medium__degraded,gaussian_blur,medium,none,tulips,sunflowers,5
gaussian_blur__medium__sharpening,gaussian_blur,medium,sharpening,tulips,roses,10
gaussian_blur__medium__sharpening,gaussian_blur,medium,sharpening,daisy,dandelion,7
gaussian_blur__medium__sharpening,gaussian_blur,medium,sharpening,sunflowers,dandelion,7
gaussian_blur__medium__sharpening,gaussian_blur,medium,sharpening,tulips,dandelion,5
gaussian_blur__medium__sharpening,gaussian_blur,medium,sharpening,roses,daisy,4
gaussian_blur__medium__unsharp_mask,gaussian_blur,medium,unsharp_mask,tulips,roses,9
gaussian_blur__medium__unsharp_mask,gaussian_blur,medium,unsharp_mask,daisy,dandelion,7
gaussian_blur__medium__unsharp_mask,gaussian_blur,medium,unsharp_mask,sunflowers,dandelion,6
gaussian_blur__medium__unsharp_mask,gaussian_blur,medium,unsharp_mask,tulips,dandelion,5
gaussian_blur__medium__unsharp_mask,gaussian_blur,medium,unsharp_mask,sunflowers,tulips,4
gaussian_blur__strong__degraded,gaussian_blur,strong,none,tulips,roses,19
gaussian_blur__strong__degraded,gaussian_blur,strong,none,tulips,dandelion,18
gaussian_blur__strong__degraded,gaussian_blur,strong,none,daisy,dandelion,15
gaussian_blur__strong__degraded,gaussian_blur,strong,none,sunflowers,dandelion,15
gaussian_blur__strong__degraded,gaussian_blur,strong,none,tulips,daisy,8
gaussian_blur__strong__sharpening,gaussian_blur,strong,sharpening,tulips,dandelion,14
gaussian_blur__strong__sharpening,gaussian_blur,strong,sharpening,daisy,dandelion,13
gaussian_blur__strong__sharpening,gaussian_blur,strong,sharpening,tulips,roses,13
gaussian_blur__strong__sharpening,gaussian_blur,strong,sharpening,sunflowers,dandelion,10
gaussian_blur__strong__sharpening,gaussian_blur,strong,sharpening,dandelion,daisy,8
gaussian_blur__strong__unsharp_mask,gaussian_blur,strong,unsharp_mask,tulips,dandelion,13
gaussian_blur__strong__unsharp_mask,gaussian_blur,strong,unsharp_mask,tulips,roses,13
gaussian_blur__strong__unsharp_mask,gaussian_blur,strong,unsharp_mask,daisy,dandelion,12
gaussian_blur__strong__unsharp_mask,gaussian_blur,strong,unsharp_mask,sunflowers,dandelion,9
gaussian_blur__strong__unsharp_mask,gaussian_blur,strong,unsharp_mask,dandelion,daisy,7
gaussian_noise__light__bilateral_filter,gaussian_noise,light,bilateral_filter,tulips,roses,9
gaussian_noise__light__bilateral_filter,gaussian_noise,light,bilateral_filter,daisy,dandelion,6
gaussian_noise__light__bilateral_filter,gaussian_noise,light,bilateral_filter,daisy,sunflowers,4
gaussian_noise__light__bilateral_filter,gaussian_noise,light,bilateral_filter,daisy,tulips,4
gaussian_noise__light__bilateral_filter,gaussian_noise,light,bilateral_filter,dandelion,sunflowers,4
gaussian_noise__light__degraded,gaussian_noise,light,none,tulips,roses,18
gaussian_noise__light__degraded,gaussian_noise,light,none,daisy,dandelion,8
gaussian_noise__light__degraded,gaussian_noise,light,none,dandelion,sunflowers,8
gaussian_noise__light__degraded,gaussian_noise,light,none,tulips,sunflowers,7
gaussian_noise__light__degraded,gaussian_noise,light,none,daisy,sunflowers,6
gaussian_noise__light__gaussian_filter,gaussian_noise,light,gaussian_filter,tulips,roses,11
gaussian_noise__light__gaussian_filter,gaussian_noise,light,gaussian_filter,daisy,dandelion,10
gaussian_noise__light__gaussian_filter,gaussian_noise,light,gaussian_filter,dandelion,sunflowers,6
gaussian_noise__light__gaussian_filter,gaussian_noise,light,gaussian_filter,daisy,sunflowers,4
gaussian_noise__light__gaussian_filter,gaussian_noise,light,gaussian_filter,tulips,dandelion,4
gaussian_noise__medium__bilateral_filter,gaussian_noise,medium,bilateral_filter,tulips,roses,37
gaussian_noise__medium__bilateral_filter,gaussian_noise,medium,bilateral_filter,daisy,dandelion,12
gaussian_noise__medium__bilateral_filter,gaussian_noise,medium,bilateral_filter,tulips,dandelion,8
gaussian_noise__medium__bilateral_filter,gaussian_noise,medium,bilateral_filter,sunflowers,dandelion,7
gaussian_noise__medium__bilateral_filter,gaussian_noise,medium,bilateral_filter,daisy,sunflowers,6
gaussian_noise__medium__degraded,gaussian_noise,medium,none,tulips,roses,32
gaussian_noise__medium__degraded,gaussian_noise,medium,none,daisy,dandelion,16
gaussian_noise__medium__degraded,gaussian_noise,medium,none,daisy,sunflowers,12
gaussian_noise__medium__degraded,gaussian_noise,medium,none,dandelion,sunflowers,12
gaussian_noise__medium__degraded,gaussian_noise,medium,none,tulips,sunflowers,7
gaussian_noise__medium__gaussian_filter,gaussian_noise,medium,gaussian_filter,tulips,roses,35
gaussian_noise__medium__gaussian_filter,gaussian_noise,medium,gaussian_filter,daisy,dandelion,16
gaussian_noise__medium__gaussian_filter,gaussian_noise,medium,gaussian_filter,sunflowers,dandelion,8
gaussian_noise__medium__gaussian_filter,gaussian_noise,medium,gaussian_filter,daisy,roses,6
gaussian_noise__medium__gaussian_filter,gaussian_noise,medium,gaussian_filter,daisy,sunflowers,5
gaussian_noise__strong__bilateral_filter,gaussian_noise,strong,bilateral_filter,tulips,roses,54
gaussian_noise__strong__bilateral_filter,gaussian_noise,strong,bilateral_filter,daisy,sunflowers,18
gaussian_noise__strong__bilateral_filter,gaussian_noise,strong,bilateral_filter,daisy,dandelion,16
gaussian_noise__strong__bilateral_filter,gaussian_noise,strong,bilateral_filter,dandelion,sunflowers,16
gaussian_noise__strong__bilateral_filter,gaussian_noise,strong,bilateral_filter,dandelion,roses,14
gaussian_noise__strong__degraded,gaussian_noise,strong,none,daisy,dandelion,40
gaussian_noise__strong__degraded,gaussian_noise,strong,none,sunflowers,dandelion,26
gaussian_noise__strong__degraded,gaussian_noise,strong,none,tulips,roses,22
gaussian_noise__strong__degraded,gaussian_noise,strong,none,dandelion,tulips,15
gaussian_noise__strong__degraded,gaussian_noise,strong,none,dandelion,daisy,14
gaussian_noise__strong__gaussian_filter,gaussian_noise,strong,gaussian_filter,tulips,roses,52
gaussian_noise__strong__gaussian_filter,gaussian_noise,strong,gaussian_filter,daisy,dandelion,34
gaussian_noise__strong__gaussian_filter,gaussian_noise,strong,gaussian_filter,sunflowers,dandelion,14
gaussian_noise__strong__gaussian_filter,gaussian_noise,strong,gaussian_filter,daisy,roses,11
gaussian_noise__strong__gaussian_filter,gaussian_noise,strong,gaussian_filter,tulips,dandelion,11
low_light__light__clahe,low_light,light,clahe,dandelion,sunflowers,8
low_light__light__clahe,low_light,light,clahe,tulips,roses,7
low_light__light__clahe,low_light,light,clahe,tulips,sunflowers,6
low_light__light__clahe,low_light,light,clahe,daisy,sunflowers,4
low_light__light__clahe,low_light,light,clahe,roses,tulips,4
low_light__light__degraded,low_light,light,none,tulips,sunflowers,8
low_light__light__degraded,low_light,light,none,dandelion,sunflowers,7
low_light__light__degraded,low_light,light,none,dandelion,daisy,5
low_light__light__degraded,low_light,light,none,roses,tulips,5
low_light__light__degraded,low_light,light,none,tulips,roses,5
low_light__light__gamma_correction,low_light,light,gamma_correction,dandelion,sunflowers,9
low_light__light__gamma_correction,low_light,light,gamma_correction,tulips,sunflowers,8
low_light__light__gamma_correction,low_light,light,gamma_correction,daisy,dandelion,5
low_light__light__gamma_correction,low_light,light,gamma_correction,daisy,sunflowers,5
low_light__light__gamma_correction,low_light,light,gamma_correction,dandelion,daisy,5
low_light__medium__clahe,low_light,medium,clahe,dandelion,sunflowers,9
low_light__medium__clahe,low_light,medium,clahe,tulips,roses,9
low_light__medium__clahe,low_light,medium,clahe,sunflowers,daisy,6
low_light__medium__clahe,low_light,medium,clahe,sunflowers,tulips,6
low_light__medium__clahe,low_light,medium,clahe,daisy,sunflowers,5
low_light__medium__degraded,low_light,medium,none,tulips,roses,12
low_light__medium__degraded,low_light,medium,none,sunflowers,daisy,8
low_light__medium__degraded,low_light,medium,none,dandelion,sunflowers,7
low_light__medium__degraded,low_light,medium,none,daisy,sunflowers,5
low_light__medium__degraded,low_light,medium,none,daisy,tulips,5
low_light__medium__gamma_correction,low_light,medium,gamma_correction,dandelion,sunflowers,9
low_light__medium__gamma_correction,low_light,medium,gamma_correction,tulips,sunflowers,8
low_light__medium__gamma_correction,low_light,medium,gamma_correction,tulips,roses,7
low_light__medium__gamma_correction,low_light,medium,gamma_correction,daisy,dandelion,5
low_light__medium__gamma_correction,low_light,medium,gamma_correction,daisy,sunflowers,5
low_light__strong__clahe,low_light,strong,clahe,tulips,roses,16
low_light__strong__clahe,low_light,strong,clahe,dandelion,sunflowers,8
low_light__strong__clahe,low_light,strong,clahe,daisy,tulips,7
low_light__strong__clahe,low_light,strong,clahe,sunflowers,daisy,7
low_light__strong__clahe,low_light,strong,clahe,sunflowers,tulips,7
low_light__strong__degraded,low_light,strong,none,tulips,roses,21
low_light__strong__degraded,low_light,strong,none,sunflowers,daisy,10
low_light__strong__degraded,low_light,strong,none,daisy,tulips,7
low_light__strong__degraded,low_light,strong,none,dandelion,daisy,7
low_light__strong__degraded,low_light,strong,none,dandelion,sunflowers,7
low_light__strong__gamma_correction,low_light,strong,gamma_correction,tulips,sunflowers,13
low_light__strong__gamma_correction,low_light,strong,gamma_correction,dandelion,sunflowers,9
low_light__strong__gamma_correction,low_light,strong,gamma_correction,dandelion,daisy,8
low_light__strong__gamma_correction,low_light,strong,gamma_correction,tulips,roses,6
low_light__strong__gamma_correction,low_light,strong,gamma_correction,daisy,sunflowers,5
salt_pepper__light__degraded,salt_pepper,light,none,tulips,roses,10
salt_pepper__light__degraded,salt_pepper,light,none,daisy,dandelion,9
salt_pepper__light__degraded,salt_pepper,light,none,roses,daisy,7
salt_pepper__light__degraded,salt_pepper,light,none,tulips,dandelion,7
salt_pepper__light__degraded,salt_pepper,light,none,tulips,sunflowers,7
salt_pepper__light__gaussian_filter,salt_pepper,light,gaussian_filter,tulips,roses,21
salt_pepper__light__gaussian_filter,salt_pepper,light,gaussian_filter,daisy,dandelion,13
salt_pepper__light__gaussian_filter,salt_pepper,light,gaussian_filter,tulips,dandelion,6
salt_pepper__light__gaussian_filter,salt_pepper,light,gaussian_filter,sunflowers,dandelion,5
salt_pepper__light__gaussian_filter,salt_pepper,light,gaussian_filter,daisy,sunflowers,4
salt_pepper__light__median_filter,salt_pepper,light,median_filter,daisy,dandelion,6
salt_pepper__light__median_filter,salt_pepper,light,median_filter,tulips,roses,6
salt_pepper__light__median_filter,salt_pepper,light,median_filter,daisy,tulips,5
salt_pepper__light__median_filter,salt_pepper,light,median_filter,roses,tulips,5
salt_pepper__light__median_filter,salt_pepper,light,median_filter,sunflowers,tulips,5
salt_pepper__medium__degraded,salt_pepper,medium,none,tulips,daisy,24
salt_pepper__medium__degraded,salt_pepper,medium,none,roses,daisy,18
salt_pepper__medium__degraded,salt_pepper,medium,none,daisy,dandelion,12
salt_pepper__medium__degraded,salt_pepper,medium,none,tulips,roses,12
salt_pepper__medium__degraded,salt_pepper,medium,none,tulips,sunflowers,11
salt_pepper__medium__gaussian_filter,salt_pepper,medium,gaussian_filter,tulips,roses,32
salt_pepper__medium__gaussian_filter,salt_pepper,medium,gaussian_filter,daisy,dandelion,17
salt_pepper__medium__gaussian_filter,salt_pepper,medium,gaussian_filter,tulips,dandelion,11
salt_pepper__medium__gaussian_filter,salt_pepper,medium,gaussian_filter,sunflowers,dandelion,8
salt_pepper__medium__gaussian_filter,salt_pepper,medium,gaussian_filter,tulips,sunflowers,7
salt_pepper__medium__median_filter,salt_pepper,medium,median_filter,tulips,roses,8
salt_pepper__medium__median_filter,salt_pepper,medium,median_filter,daisy,dandelion,6
salt_pepper__medium__median_filter,salt_pepper,medium,median_filter,daisy,tulips,5
salt_pepper__medium__median_filter,salt_pepper,medium,median_filter,daisy,sunflowers,4
salt_pepper__medium__median_filter,salt_pepper,medium,median_filter,roses,tulips,4
salt_pepper__strong__degraded,salt_pepper,strong,none,tulips,daisy,23
salt_pepper__strong__degraded,salt_pepper,strong,none,tulips,roses,22
salt_pepper__strong__degraded,salt_pepper,strong,none,daisy,dandelion,21
salt_pepper__strong__degraded,salt_pepper,strong,none,tulips,dandelion,19
salt_pepper__strong__degraded,salt_pepper,strong,none,tulips,sunflowers,17
salt_pepper__strong__gaussian_filter,salt_pepper,strong,gaussian_filter,tulips,roses,40
salt_pepper__strong__gaussian_filter,salt_pepper,strong,gaussian_filter,daisy,dandelion,26
salt_pepper__strong__gaussian_filter,salt_pepper,strong,gaussian_filter,sunflowers,dandelion,11
salt_pepper__strong__gaussian_filter,salt_pepper,strong,gaussian_filter,tulips,dandelion,9
salt_pepper__strong__gaussian_filter,salt_pepper,strong,gaussian_filter,daisy,sunflowers,5
salt_pepper__strong__median_filter,salt_pepper,strong,median_filter,tulips,roses,12
salt_pepper__strong__median_filter,salt_pepper,strong,median_filter,daisy,dandelion,5
salt_pepper__strong__median_filter,salt_pepper,strong,median_filter,daisy,tulips,5
salt_pepper__strong__median_filter,salt_pepper,strong,median_filter,sunflowers,dandelion,5
salt_pepper__strong__median_filter,salt_pepper,strong,median_filter,sunflowers,tulips,5
