error_id,section,original_error,severity,related_files,current_status,evidence_before,fix_action,files_changed,verification_command,verification_result,evidence_after,blocker,final_status
F3,F,Chưa chứng minh huấn luyện hai giai đoạn: Cần evidence: ### Stage 1 - frozen backbone; - train classification head. ### Stage 2 - unfreeze một số lớp cuối; - BatchNormalization tiếp tục frozen.,BLOCKER,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
F4,F,Chưa có history thật: Thiếu: `artifacts/training/history.csv` Phải chứa: - stage; - epoch; - loss; - accuracy; - val_loss; - val_accuracy; - learning rate; - duration.,BLOCKER,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
F5,F,Chưa có learning curves thật: Thiếu: `artifacts/training/learning_curves.png`,BLOCKER,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
F6,F,Chưa có environment manifest FULL_RUN: Thiếu: `artifacts/environment.json` Phải gồm: - Python; - OS; - CPU/GPU; - TensorFlow; - CUDA; - cuDNN; - package versions; - seed; - timestamp; - git commit; - command; - training/evaluation duration.,BLOCKER,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
F7,F,Model metadata contract hiện chưa đủ: Sau FULL_RUN phải có: - status = FULL_RUN_COMPLETE; - model filename; - SHA-256; - file size; - TensorFlow version; - CUDA; - cuDNN; - input shape; - output shape; - class order; - train checksum; - validation checksum; - seed; - git commit; - timestamp; - training duration.,BLOCKER,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
F8,F,Chưa có process-new smoke load: Sau train phải: 1. đóng process training; 2. mở Python process mới; 3. load `.keras`; 4. predict một batch; 5. xác minh output shape và class order. --- # 8. Nhóm lỗi G — 49-condition Evaluation,BLOCKER,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
G1,G,Chưa có `results/final/condition_metrics.csv`: Bắt buộc: **49 dòng** Gồm: - 1 clean; - 15 degraded; - 33 enhanced.,BLOCKER,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
G2,G,Chưa có `results/final/predictions.csv`: Bắt buộc: 49 × 550 = **26.950 dòng**,BLOCKER,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
G3,G,Chưa có `results/final/per_class_metrics.csv`: Bắt buộc: 49 × 5 = **245 dòng**,BLOCKER,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
G4,G,Chưa có `results/final/statistical_tests.csv`: Nếu Accuracy và Macro F1 đều được kiểm định cho 33 enhanced conditions: 33 × 2 = **66 dòng**,BLOCKER,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
G5,G,Chưa có 49 confusion matrix CSV: Mỗi matrix: - 5 × 5; - support = 550. Hiện tại: 0/49.,BLOCKER,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
G6,G,Chưa có confusion matrix PNG: Cần figure dùng cho báo cáo/slide.,BLOCKER,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
G7,G,Chưa có final manifest: Thiếu: `results/final/manifest.json`,BLOCKER,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
G8,G,"Chưa có image metrics thật: Từng enhanced/degraded condition cần các metric ảnh theo protocol đã khóa, ví dụ: - PSNR; - SSIM; - latency.",BLOCKER,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
G9,G,Chưa có latency benchmark chuẩn: Cần: - warm-up; - nhiều lần chạy; - mean; - median; - p95; - batch size; - hardware. --- # 9. Nhóm lỗi H — Statistical Analysis,BLOCKER,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
H1,H,Chưa chạy paired bootstrap thật: Yêu cầu: - paired data; - ít nhất 2.000 resamples; - Accuracy difference; - Macro F1 difference; - 95% CI.,BLOCKER,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
H2,H,Chưa chạy exact McNemar thật: Cần correct/incorrect vector của cùng 550 ảnh.,BLOCKER,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
H3,H,Chưa chạy Holm–Bonferroni thật: 33 comparisons phải được correction theo family phù hợp.,BLOCKER,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
H4,H,Chưa có adjusted p-value và quyết định: Mỗi comparison phải có: - raw p; - adjusted p; - reject/not reject; - effect size; - CI.,BLOCKER,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
H5,H,Không được kết luận quá mức: Báo cáo không được nói: - “cải thiện có ý nghĩa” nếu p/CI không hỗ trợ; - “PSNR/SSIM gây tăng accuracy” chỉ từ tương quan. --- # 10. Nhóm lỗi I — Error Analysis,BLOCKER,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
I1,I,Chưa có `results/final/error_analysis.csv`: ,HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
I2,I,Chưa phân loại đầy đủ lỗi: Tối thiểu: 1. degraded làm đúng → sai; 2. enhancement phục hồi sai → đúng; 3. enhancement làm đúng → sai; 4. luôn sai; 5. confidence tăng nhưng vẫn sai.,HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
I3,I,Chưa có top confusion pairs: Theo: - class; - degradation; - level; - method.,HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
I4,I,Chưa có error gallery: Mọi ảnh lỗi phải truy ngược được bằng: - relative_path; - sha256; - condition_id. --- # 11. Nhóm lỗi J — Notebook,HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
J1,J,Notebook chưa được FULL_RUN: Hiện trạng: - khoảng 54 cells; - 30 code cells; - **0/30 executed**. Đây là blocker lớn.,BLOCKER,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
J2,J,Chưa có execution count: Mọi code cell cần thiết phải có execution count.,BLOCKER,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
J3,J,Chưa có FULL_RUN_COMPLETE: Cell cuối phải kiểm: - row counts; - checksums; - model load; - manifest; - FULL_RUN_COMPLETE.,BLOCKER,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
J4,J,Không được có SUBMISSION_READY trước strict final PASS: Chỉ ghi: `SUBMISSION_READY` sau khi: `python scripts/validate_project.py --require-final` PASS thật.,BLOCKER,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
J5,J,Cần notebook HTML hoặc execution log: Không bắt buộc tuyệt đối nhưng rất nên có để tăng bằng chứng tái lập. --- # 12. Nhóm lỗi K — Streamlit,BLOCKER,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
K1,K,App hiện chưa thể nghiệm thu prediction cuối: Vì thiếu model thật.,BLOCKER,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
K2,K,Thiếu AppTest evidence: Phải có test: - startup; - upload; - invalid file; - prediction; - error states; - probabilities; - checksum readiness.,BLOCKER,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
K3,K,Thiếu local smoke evidence: Thiếu: `artifacts/app_smoke_test.json`,BLOCKER,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
K4,K,Cần đối chiếu App output với direct inference: Cùng ảnh phải cho output thống nhất giữa: - Streamlit; - direct Python inference.,BLOCKER,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
K5,K,Upload validation cần được kiểm thử đầy đủ: JPEG/PNG theo content; - ≤ 10 MB; - PIL verify; - decode; - EXIF; - RGB; - pixel limit; - không lưu upload.,BLOCKER,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
K6,K,App phải predict clean/degraded/enhanced trong một batch: Không gọi model từng ảnh riêng. --- # 13. Nhóm lỗi L — Docker,BLOCKER,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
L1,L,Chưa có bằng chứng Docker build PASS: Có Dockerfile chưa đủ. Phải chạy: `docker build` thật.,BLOCKER,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
L2,L,Chưa có container health smoke: Health endpoint: `/_stcore/health`,BLOCKER,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
L3,L,Chưa có upload/prediction smoke trong container: ,BLOCKER,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
L4,L,Cần chứng minh container non-root: # 14. Nhóm lỗi M — Test và CI,BLOCKER,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
M1,M,"Pytest hiện còn 1 skipped test: Hiện tại: `21 passed, 1 skipped` Với test bắt buộc, prompt yêu cầu 0 skip.",BLOCKER,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
M2,M,"Cần AppTest không skip: Không được skip vì: - thiếu TensorFlow; - thiếu Streamlit; - thiếu model. Trong FULL_RUN artifact cuối, dependency và model phải đầy đủ.",BLOCKER,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
M3,M,Cần chạy Ruff thật: ,BLOCKER,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
M4,M,Cần lưu compileall evidence: Compile hiện PASS nhưng cần ghi log trong final artifacts.,BLOCKER,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
M5,M,Cần CI evidence: CI phải bao phủ: - Ruff; - compileall; - pytest; - notebook checks; - validators; - Streamlit smoke; - Docker smoke; - secret scan; - absolute path scan; - legacy scan. --- # 15. Nhóm lỗi N — Validator,BLOCKER,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
N1,N,Core validator PASS nhưng FULL_RUN validator FAIL: Hiện: `python scripts/validate_project.py` PASS. Nhưng: `python scripts/validate_project.py --require-full-run` FAIL.,BLOCKER,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
N2,N,Strict final validator FAIL: `python scripts/validate_project.py --require-final` FAIL.,BLOCKER,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
